location_uri,label,latitude,longitude
GLOB2_903,Azië,29.84064,89.29688
GLOB_200,Pirakked,9.35099,76.36792
GLOB_299,Cochin,9.939431,76.258793
GLOB_405,Malabar Coast,10.208811,76.155349
glob_299,Cochin,9.939431,76.258793
http://sws.geonames.org/2745912/,"Utrecht, Netherlands",52.09083,5.12222
http://sws.geonames.org/2749644/,"Oldenzaal, Netherlands",52.3125,6.92917
http://sws.geonames.org/2751773/,"Leiden, Netherlands",52.15833,4.49306
http://sws.geonames.org/2753174/,Jutphaas,52.03333,5.08333
http://sws.geonames.org/2755420/,"Gouda, Netherlands",52.01667,4.70833
http://sws.geonames.org/2759483/,Bakkum,52.55945, 4.65717
http://sws.geonames.org/2759794/,"Amsterdam, Netherlands",52.37403,4.88969
http://sws.geonames.org/2800866/,"Brussels, Belgium",50.85045,4.34878
http://sws.geonames.org/2867539/,"Regierungsbezirk Münster, Germany",51.9615,7.62534
